ChapterSerial,Chapter,ProblemSerial,Problem,Id,Acceptance,Difficulty,Frequency,Link
1,Arrays and Strings,1,Two Sum,1,45.7%,Easy,100.0,https://leetcode.com/problems/two-sum
1,Arrays and Strings,2,Find First and Last Position of Element in Sorted Array,34,36.3%,Medium,57.8874,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
1,Arrays and Strings,3,Group Anagrams,49,57.3%,Medium,70.0943,https://leetcode.com/problems/group-anagrams
1,Arrays and Strings,4,Text Justification,68,28.0%,Hard,74.9735,https://leetcode.com/problems/text-justification
1,Arrays and Strings,5,Minimum Window Substring,76,34.9%,Hard,74.7578,https://leetcode.com/problems/minimum-window-substring
1,Arrays and Strings,6,Validate IP Address,468,24.2%,Medium,45.3051,https://leetcode.com/problems/validate-ip-address
2,Linked Lists,1,Merge Two Sorted Lists,21,53.9%,Easy,89.5942,https://leetcode.com/problems/merge-two-sorted-lists
2,Linked Lists,2,Merge k Sorted Lists,23,40.6%,Hard,90.663,https://leetcode.com/problems/merge-k-sorted-lists
3,Trees and Graphs,1,Reconstruct Itinerary,332,36.9%,Medium,54.887,https://leetcode.com/problems/reconstruct-itinerary
3,Trees and Graphs,2,Evaluate Division,399,51.9%,Medium,43.8532,https://leetcode.com/problems/evaluate-division
3,Trees and Graphs,3,Find Duplicate Subtrees,652,50.4%,Medium,19.6119,https://leetcode.com/problems/find-duplicate-subtrees
3,Trees and Graphs,4,Print Binary Tree,655,55.1%,Medium,2.44702,https://leetcode.com/problems/print-binary-tree
3,Trees and Graphs,5,Serialize and Deserialize N-ary Tree,428,59.6%,Hard,50.0391,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
4,"Heaps, Queues, and, Stacks",1,Trapping Rain Water,42,49.2%,Hard,94.9261,https://leetcode.com/problems/trapping-rain-water
4,"Heaps, Queues, and, Stacks",2,Basic Calculator,224,37.1%,Hard,61.4785,https://leetcode.com/problems/basic-calculator
4,"Heaps, Queues, and, Stacks",3,Meeting Rooms II,253,45.8%,Medium,70.452,https://leetcode.com/problems/meeting-rooms-ii
4,"Heaps, Queues, and, Stacks",4,Task Scheduler,621,50.4%,Medium,58.9942,https://leetcode.com/problems/task-scheduler
4,"Heaps, Queues, and, Stacks",5,Exclusive Time of Functions,636,52.1%,Medium,56.6295,https://leetcode.com/problems/exclusive-time-of-functions
4,"Heaps, Queues, and, Stacks",6,Employee Free Time,759,66.5%,Hard,62.1604,https://leetcode.com/problems/employee-free-time
5,Recursion and Backtracking,1,Letter Combinations of a Phone Number,17,47.1%,Medium,70.5068,https://leetcode.com/problems/letter-combinations-of-a-phone-number
5,Recursion and Backtracking,2,Subsets,78,62.5%,Medium,54.6467,https://leetcode.com/problems/subsets
6,Sorting and Searching,1,Merge Intervals,56,39.5%,Medium,86.3523,https://leetcode.com/problems/merge-intervals
6,Sorting and Searching,2,Word Ladder II,126,22.4%,Hard,53.4795,https://leetcode.com/problems/word-ladder-ii
6,Sorting and Searching,3,Number of Islands,200,47.1%,Medium,98.9313,https://leetcode.com/problems/number-of-islands
6,Sorting and Searching,4,Walls and Gates,286,54.9%,Medium,39.7852,https://leetcode.com/problems/walls-and-gates
6,Sorting and Searching,5,Remove Invalid Parentheses,301,43.5%,Hard,65.4967,https://leetcode.com/problems/remove-invalid-parentheses
6,Sorting and Searching,6,24 Game,679,46.5%,Hard,39.3169,https://leetcode.com/problems/24-game
6,Sorting and Searching,7,Max Area of Island,695,63.0%,Medium,51.2185,https://leetcode.com/problems/max-area-of-island
6,Sorting and Searching,8,Bus Routes,815,42.7%,Hard,46.4677,https://leetcode.com/problems/bus-routes
6,Sorting and Searching,9,Shortest Bridge,934,48.6%,Medium,42.0115,https://leetcode.com/problems/shortest-bridge
7,Dynamic Programming,1,Word Break,139,40.3%,Medium,78.8645,https://leetcode.com/problems/word-break
7,Dynamic Programming,2,Perfect Squares,279,47.6%,Medium,49.6274,https://leetcode.com/problems/perfect-squares
7,Dynamic Programming,3,Russian Doll Envelopes,354,35.6%,Hard,27.7364,https://leetcode.com/problems/russian-doll-envelopes
7,Dynamic Programming,4,Maximum Vacation Days,568,41.0%,Hard,9.61767,https://leetcode.com/problems/maximum-vacation-days
7,Dynamic Programming,5,Cherry Pickup,741,34.0%,Hard,37.5538,https://leetcode.com/problems/cherry-pickup
8,Design,1,LRU Cache,146,33.5%,Medium,95.725,https://leetcode.com/problems/lru-cache
8,Design,2,Serialize and Deserialize Binary Tree,297,47.8%,Hard,72.4062,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
8,Design,3,Moving Average from Data Stream,346,71.3%,Easy,28.3421,https://leetcode.com/problems/moving-average-from-data-stream
8,Design,4,Design Snake Game,353,34.4%,Medium,38.9662,https://leetcode.com/problems/design-snake-game
8,Design,5,Logger Rate Limiter,359,70.9%,Easy,41.3668,https://leetcode.com/problems/logger-rate-limiter
8,Design,6,Design Hit Counter,362,63.9%,Medium,58.0127,https://leetcode.com/problems/design-hit-counter
8,Design,7,Insert Delete GetRandom O(1) - Duplicates allowed,381,34.2%,Hard,18.446,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed
8,Design,8,Design Search Autocomplete System,642,45.0%,Hard,44.9712,https://leetcode.com/problems/design-search-autocomplete-system
9,Others,1,Valid Sudoku,36,49.1%,Medium,37.7872,https://leetcode.com/problems/valid-sudoku
9,Others,2,Candy,135,31.8%,Hard,22.7774,https://leetcode.com/problems/candy
9,Others,3,Fraction to Recurring Decimal,166,21.7%,Medium,52.0716,https://leetcode.com/problems/fraction-to-recurring-decimal
9,Others,4,Number of Islands II,305,40.0%,Hard,21.2032,https://leetcode.com/problems/number-of-islands-ii
9,Others,5,Random Pick Index,398,56.3%,Medium,27.4926,https://leetcode.com/problems/random-pick-index
9,Others,6,Encode and Decode TinyURL,535,80.0%,Medium,43.9119,https://leetcode.com/problems/encode-and-decode-tinyurl
9,Others,7,Solve the Equation,640,42.2%,Medium,26.4757,https://leetcode.com/problems/solve-the-equation
9,Others,8,Construct Quad Tree,427,61.5%,Medium,29.6263,https://leetcode.com/problems/construct-quad-tree
9,Others,9,Random Pick with Weight,528,44.1%,Medium,63.1795,https://leetcode.com/problems/random-pick-with-weight
